Date,Device_Type,Marketing_Channel,Page_Views,Add_to_Cart,Purchases,Conversion_Rate
2024-01-01,Desktop,Organic,61,1,0,0.0
2024-01-01,Desktop,Paid Search,74,4,1,0.0135
2024-01-01,Desktop,Social,50,3,0,0.0
2024-01-01,Desktop,Email,50,3,0,0.0
2024-01-01,Mobile,Organic,58,3,0,0.0
2024-01-01,Mobile,Paid Search,50,1,0,0.0
2024-01-01,Mobile,Social,58,3,0,0.0
2024-01-01,Mobile,Email,63,4,0,0.0
2024-01-01,Tablet,Organic,52,2,0,0.0
2024-01-01,Tablet,Paid Search,72,5,1,0.0139
2024-01-01,Tablet,Social,72,4,0,0.0
2024-01-01,Tablet,Email,62,3,0,0.0
2024-01-02,Desktop,Organic,69,2,0,0.0
2024-01-02,Desktop,Paid Search,50,2,0,0.0
2024-01-02,Desktop,Social,64,4,1,0.0156
2024-01-02,Desktop,Email,50,2,0,0.0
2024-01-02,Mobile,Organic,69,3,0,0.0
2024-01-02,Mobile,Paid Search,50,3,0,0.0
2024-01-02,Mobile,Social,87,3,0,0.0
2024-01-02,Mobile,Email,50,3,0,0.0
2024-01-02,Tablet,Organic,90,6,1,0.0111
2024-01-02,Tablet,Paid Search,61,3,0,0.0
2024-01-02,Tablet,Social,135,5,1,0.0074
2024-01-02,Tablet,Email,51,2,0,0.0
2024-01-03,Desktop,Organic,50,2,0,0.0
2024-01-03,Desktop,Paid Search,50,3,0,0.0
2024-01-03,Desktop,Social,59,4,0,0.0
2024-01-03,Desktop,Email,68,2,0,0.0
2024-01-03,Mobile,Organic,50,2,0,0.0
2024-01-03,Mobile,Paid Search,58,4,0,0.0
2024-01-03,Mobile,Social,59,4,0,0.0
2024-01-03,Mobile,Email,66,3,0,0.0
2024-01-03,Tablet,Organic,71,3,0,0.0
2024-01-03,Tablet,Paid Search,85,3,0,0.0
2024-01-03,Tablet,Social,66,3,0,0.0
2024-01-03,Tablet,Email,92,5,0,0.0
2024-01-04,Desktop,Organic,87,5,0,0.0
2024-01-04,Desktop,Paid Search,83,3,0,0.0
2024-01-04,Desktop,Social,75,3,0,0.0
2024-01-04,Desktop,Email,77,4,0,0.0
2024-01-04,Mobile,Organic,83,6,1,0.012
2024-01-04,Mobile,Paid Search,51,3,0,0.0
2024-01-04,Mobile,Social,55,1,0,0.0
